date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,spend,conversions,CPA,conversion_value,ROAS,primary_goal,kpis,offering,audience,funnel_stage
7/4/2024,Meta Ads,Shopping,Fintech,USA,185798,5889,0.0317,0.9,5300.1,400,13.25,41326.63,7.8,Maximize ROAS on credit card signups,"leads,cpl",Personal Loans,First-time investors,conversion
12/30/2024,TikTok Ads,Video,EdTech,India,194407,13122,0.0675,0.85,11153.7,379,29.43,56289.95,5.05,Scale awareness in new markets,"signups,cpa",Language Learning Platform,HR managers,consideration
11/13/2024,Google Ads,Search,SaaS,UAE,188062,8143,0.0433,1.8,14657.4,614,23.87,124232.5,8.48,Reduce churn by retargeting,"demos,cpa",Video Editing Tool,Enterprise IT teams,awareness
12/14/2024,Meta Ads,Shopping,Healthcare,India,195710,4481,0.0229,0.53,2374.93,352,6.75,27223.39,11.46,Retarget previous site visitors,"conversions,cvr",Health Insurance Plan,Chronic pain sufferers,awareness
4/9/2024,Google Ads,Display,Healthcare,Australia,198824,9046,0.0455,3.61,32656.06,407,80.24,71482.19,2.19,Improve acquisition efficiency,"conversions,cvr",Telemedicine App,New parents,consideration
6/8/2024,Meta Ads,Shopping,SaaS,USA,196962,5081,0.0258,2.06,10466.86,282,37.12,24196.95,2.31,Reduce churn by retargeting,"leads,cpl",Video Editing Tool,Enterprise IT teams,awareness
8/29/2024,Google Ads,Shopping,SaaS,UAE,105386,3783,0.0359,1.82,6885.06,130,52.96,36776.35,5.34,Drive demo requests,"revenue,roas",Project Management Platform,Enterprise IT teams,conversion
9/5/2024,Google Ads,Search,Healthcare,UAE,49425,1996,0.0404,1.27,2534.92,98,25.87,9253.27,3.65,Retarget previous site visitors,"bookings,cpa",Medical Device,New parents,retention
12/26/2024,Meta Ads,Video,E-commerce,Canada,191141,4453,0.0233,1.23,5477.19,72,76.07,8367.46,1.53,Clearance of old stock,"conversion_value,cvr",Luxury Beauty Products,Eco-conscious Gen Z,consideration
5/23/2024,TikTok Ads,Shopping,EdTech,Canada,91900,4696,0.0511,0.53,2488.88,367,6.78,109696.83,44.07,Increase free trial signups,"signups,cpa",K-12 Tutoring,Career changers,consideration
11/26/2024,Google Ads,Video,Healthcare,Canada,11801,795,0.0674,2.97,2361.15,57,41.42,3966.25,1.68,Improve acquisition efficiency,"conversions,cvr",Telemedicine App,Seniors over 65,retention
11/16/2024,Meta Ads,Display,Fintech,UAE,193926,5837,0.0301,1.0,5837.0,193,30.24,28429.29,4.87,Reduce CPL for loan applications,"installs,cpi",Personal Loans,First-time investors,consideration
2/27/2024,Google Ads,Display,EdTech,India,35355,961,0.0272,2.22,2133.42,68,31.37,6145.22,2.88,Improve lead quality for high-ticket courses,"leads,cpl",K-12 Tutoring,Career changers,consideration
11/12/2024,TikTok Ads,Shopping,Healthcare,UAE,133148,9120,0.0685,0.5,4560.0,279,16.34,83385.98,18.29,Retarget previous site visitors,"bookings,cpa",Telemedicine App,Seniors over 65,awareness
1/12/2024,Meta Ads,Video,E-commerce,Canada,104657,4029,0.0385,0.71,2860.59,204,14.02,10401.62,3.64,Clearance of old stock,"revenue,roas",Pet Subscription Box,Eco-conscious Gen Z,retention
5/24/2024,TikTok Ads,Shopping,Fintech,India,174160,9683,0.0556,1.84,17816.72,512,34.8,73177.92,4.11,Increase new app installs,"leads,cpl",Investment App,Tech-savvy millennials,awareness
1/5/2024,TikTok Ads,Display,Fintech,UAE,6015,410,0.0683,1.93,791.3,28,28.26,4383.32,5.54,Reduce CPL for loan applications,"leads,cpl",Investment App,First-time investors,awareness
1/6/2024,Meta Ads,Search,Healthcare,Australia,17763,726,0.0409,1.94,1408.44,30,46.95,1946.19,1.38,Retarget previous site visitors,"bookings,cpa",Medical Device,New parents,consideration
10/14/2024,TikTok Ads,Search,EdTech,India,97193,6230,0.0641,1.6,9968.0,306,32.58,81609.12,8.19,Improve lead quality for high-ticket courses,"impressions,reach",Professional Certifications,HR managers,conversion
3/6/2024,Meta Ads,Shopping,Healthcare,UAE,58682,1748,0.0298,1.49,2604.52,84,31.01,12746.65,4.89,Increase appointment bookings,"conversions,cvr",Wellness Supplement,New parents,retention
3/21/2024,TikTok Ads,Display,SaaS,Canada,108196,5334,0.0493,0.99,5280.66,289,18.27,27408.56,5.19,Drive demo requests,"revenue,roas",CRM Software,Freelancers,consideration
1/8/2024,Google Ads,Search,Fintech,India,63243,1707,0.027,2.24,3823.68,37,103.34,3893.12,1.02,Increase new app installs,"leads,cpl",Crypto Exchange,Tech-savvy millennials,retention
8/20/2024,Google Ads,Search,E-commerce,UAE,152979,4650,0.0304,0.79,3673.5,330,11.13,91949.73,25.03,Launch new product line,"sales,cpa",Pet Subscription Box,Eco-conscious Gen Z,retention
1/8/2024,Google Ads,Display,EdTech,USA,132600,6802,0.0513,1.53,10407.06,97,107.29,6779.29,0.65,Improve lead quality for high-ticket courses,"signups,cpa",Language Learning Platform,High school students,retention
9/30/2024,Google Ads,Video,Fintech,Australia,110977,4150,0.0374,1.13,4689.5,197,23.8,18314.78,3.91,Reduce CPL for loan applications,"conversion_value,roas",Crypto Exchange,First-time investors,conversion
3/7/2024,Google Ads,Search,EdTech,UK,87152,3599,0.0413,2.63,9465.37,127,74.53,25958.5,2.74,Scale awareness in new markets,"impressions,reach",Professional Certifications,High school students,conversion
8/16/2024,Meta Ads,Shopping,Fintech,UAE,164096,1919,0.0117,0.66,1266.54,139,9.11,7181.17,5.67,Increase new app installs,"conversion_value,roas",Crypto Exchange,First-time investors,awareness
8/10/2024,Meta Ads,Shopping,Healthcare,Germany,21389,941,0.044,0.8,752.8,46,16.37,8479.43,11.26,Retarget previous site visitors,"clicks,cpc",Wellness Supplement,Chronic pain sufferers,retention
4/27/2024,Google Ads,Shopping,Healthcare,India,69323,2169,0.0313,2.19,4750.11,94,50.53,16337.12,3.44,Retarget previous site visitors,"bookings,cpa",Telemedicine App,Seniors over 65,conversion
5/17/2024,Google Ads,Display,SaaS,UAE,138291,3318,0.024,0.83,2753.94,217,12.69,12761.51,4.63,Increase annual plan upgrades,"leads,cpl",CRM Software,E-commerce store owners,conversion
